REPORT_DISTRICT,REPORT_DISTNAME,REPORT_CHARTER_STATUS,BLANK_COLUMN,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS,CTE_HOURS,CTE_AVG,ALL_STUDENTS,ALL_HOURS,ALL_AVG
1902,CAYUGA ISD,TRADITIONAL ISD/CSD,,1902,3101100,PRECALCULUS (PRE CALC),9,27,3,9,27,3
,,,,1902,3220300,ENGLISH III (ENG 3),18,54,3,11,66,6
,,,,1902,3220400,ENGLISH IV (ENG 4),7,21,3,6,24,4
,,,,1902,3310300,ECONOMICS W/EMPH FREE ENTERPR,10,30,3,12,36,3
,,,,1902,3330100,UNITED STATES GOVERNMENT (GOVT,12,36,3,13,39,3
,,,,1902,3340100,US HISTORY STUDIES SINCE 1877,6,6,6,6,6,6
,,,,1902,13009900,PROFESSIONAL COMMUNICATIONS,3,3,3,3,3,3
Total,,,,1902,,,43,183,4.3,49,207,4.2
,,,,1902,,,,,,,,
1904,FRANKSTON ISD,TRADITIONAL ISD/CSD,,1904,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3,3,3,3
,,,,1904,3220300,ENGLISH III (ENG 3),15,45,3,15,45,3
,,,,1904,3220400,ENGLISH IV (ENG 4),15,84,5.6,15,84,5.6
,,,,1904,3253500,TECH THEATR II-DSGN FOR THEATR,13,39,3,14,42,3
,,,,1904,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,12,4,3,12,4
,,,,1904,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3,3,3,3
,,,,1904,3340100,US HISTORY STUDIES SINCE 1877,3,3,3,3,3,3
,,,,1904,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,3,3
,,,,1904,3380021,SOCIAL STD ADV STDYS (2ND CRD),6,18,3,6,18,3
,,,,1904,3440400,LANG O/T ENGLISH IV - SPANISH,3,3,3,3,3,3
,,,,1904,13014300,HUMAN GROWTH & DEVELOP,26,78,3,27,81,3
Total,,,,1904,,,80,297,3.7,82,303,3.7
,,,,1904,,,,,,,,
1906,NECHES ISD,TRADITIONAL ISD/CSD,,1906,3040000,CHEMISTRY (CHEM),6,6,6,6,6,6
,,,,1906,3100600,ALGEBRA II (ALG2),3,12,4,3,12,4
,,,,1906,3101100,PRECALCULUS (PRE CALC),4.5,4.5,4.5,4.5,4.5,4.5
,,,,1906,3220300,ENGLISH III (ENG 3),9,27,3,15,45,3
,,,,1906,3220400,ENGLISH IV (ENG 4),12,48,4,12,48,4
,,,,1906,3241400,COMMUNICATION APPLICATIONS,3,3,3,3,3,3
,,,,1906,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3,3,3,3
,,,,1906,3330100,UNITED STATES GOVERNMENT (GOVT,11,33,3,9,36,4
,,,,1906,3340100,US HISTORY STUDIES SINCE 1877,10,30,3,14,42,3
,,,,1906,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,3,3
,,,,1906,3370100,SOCIOLOGY (SOC),3,3,3,3,3,3
,,,,1906,3380001,SOCIAL STD ADV STDYS (1ST CRD),5,15,3,6,18,3
,,,,1906,3440200,LANG O/T ENGLISH II - SPANISH,3,3,3,3,3,3
,,,,1906,3440300,LANG O/T ENGLISH III - SPANISH,3,3,3,3,3,3
,,,,1906,3500100,ART I (ART 1),3,12,4,3,12,4
,,,,1906,3580200,COMPUTER SCIENCE I,3,3,3,3,3,3
